race,gender,persona_string,persona_type,model,group,marked_words,classifier_words,amount_marked_words,amount_classifier_words
Middle-Eastern,M,interview,name,Llama-3.1-8B-Instruct,Middle-EasternM,[],"['destination', 'person', 'nature', 'reviewer', 'entrepreneur', 'individual', 'emerging', 'thought', 'mind', 'foodie']",0,10
Hispanic,M,interview,name,Llama-3.1-8B-Instruct,HispanicM,[],"['lawyer', 'machine', 'strategist', 'new', 'gaming', 'around', 'human', 'developer', 'selfimprovement', 'move']",0,10
White,N,interview,name,Llama-3.1-8B-Instruct,WhiteN,[],"['visual', 'one', 'musings', 'individual', 'good', 'realm', 'share', 'things', 'cosmos', 'stargazer']",0,10
Black,N,interview,name,Llama-3.1-8B-Instruct,BlackN,[],"['thought', 'emerging', 'curiositydriven', 'solutions', 'luminary', 'word', 'stories', 'activist', 'me', 'art']",0,10
Asian,N,interview,name,Llama-3.1-8B-Instruct,AsianN,[],"['interfaces', 'observations', 'astrophysicist', 'cat', 'maker', 'intersection', 'code', 'cybersecurity', 'fulltime', 'caffeine']",0,10
Middle-Eastern,N,interview,name,Llama-3.1-8B-Instruct,Middle-EasternN,[],"['design', 'commentator', 'observations', 'choice', 'here', 'connection', 'education', 'brushstroke', 'question', 'chasing']",0,10
Hispanic,N,interview,name,Llama-3.1-8B-Instruct,HispanicN,"['artist', 'advocate', 'writer', 'justice', 'lgbtq']","['speaker', 'subjects', 'page', 'warrior', 'impact', 'you', 'hopeless', 'builder', 'leader', 'daydreamer']",5,10
White,F,interview,dem_descr,Llama-3.1-8B-Instruct,WhiteF,"['mom', 'bookworm', 'dog']","['amateur', 'author', 'womens', 'teacher', 'dog', 'share', 'brushstroke', '28', 'laughter', 'many']",3,10
Black,F,interview,dem_descr,Llama-3.1-8B-Instruct,BlackF,"['justice', 'social', 'advocate']","['student', 'slaying', 'color', 'justice', 'creativity', 'lives', 'matter', 'worlds', 'diaspora', 'view']",3,10
Asian,F,interview,dem_descr,Llama-3.1-8B-Instruct,AsianF,"['bookworm', 'tea']","['city', 'tea', 'mysteries', 'quiet', 'is', 'educator', 'me', 'loving', 'descent', 'fiction']",2,10
Middle-Eastern,F,interview,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternF,['cultures'],"['feminism', 'story', 'poetry', 'embracing', 'soul', 'wanderer', 'literature', 'studying', 'stories', 'human']",1,10
Hispanic,F,interview,dem_descr,Llama-3.1-8B-Instruct,HispanicF,['living'],"['chicana', 'intention', 'magical', 'vibes', 'passion', 'advocating', 'purpose', 'plant', 'causes', 'passionate']",1,10
White,M,interview,dem_descr,Llama-3.1-8B-Instruct,WhiteM,[],"['midwest', 'notprovided', 'hiker', 'speak', 'outdoor', 'not', 'outdoors', 'photographer', 'am', 'mountain']",0,10
Black,M,interview,dem_descr,Llama-3.1-8B-Instruct,BlackM,[],"['thinker', 'diaspora', 'this', 'code', 'mind', '30yearold', 'literature', 'best', 'music', 'day']",0,10
Asian,M,interview,dem_descr,Llama-3.1-8B-Instruct,AsianM,['anime'],"['anime', 'just', 'food', 'traveling', 'thought', 'heritage', 'currently', 'avid', 'photographer', 'software']",1,10
Middle-Eastern,M,interview,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternM,"['cultures', 'exploring']","['expat', 'two', 'cultures', 'cultural', 'modern', 'photography', 'philosophy', 'cardamom', 'writing', 'experiences']",2,10
Hispanic,M,interview,dem_descr,Llama-3.1-8B-Instruct,HispanicM,"['living', 'life', 'fullest']","['documenting', 'seeker', 'seeking', 'us', 'taco', 'language', 'playing', 'avid', 'buff', 'dude']",3,10
White,N,interview,dem_descr,Llama-3.1-8B-Instruct,WhiteN,"['artist', 'writer', 'queer']","['mysticism', 'science', 'acceptance', 'thought', 'learning', 'space', 'thoughts', 'used', 'weird', 'matter']",3,10
Black,N,interview,dem_descr,Llama-3.1-8B-Instruct,BlackN,"['artist', 'person', 'identity']","['person', 'intersections', 'astrologer', 'building', 'fighting', 'creating', 'nerd', 'novels', 'condition', 'amplify']",3,10
Asian,N,interview,dem_descr,Llama-3.1-8B-Instruct,AsianN,"['artist', 'identity', 'exploring', 'creativity']","['question', 'novels', 'tea', 'beauty', 'west', 'awareness', 'myself', 'east', 'foodie', 'artist']",4,10
Middle-Eastern,N,interview,dem_descr,Llama-3.1-8B-Instruct,Middle-EasternN,"['culture', 'identity', 'artist', 'writer', 'exploring', 'human']","['education', 'poetry', 'belonging', 'sunshine', 'philosopher', 'visuals', 'individual', 'identities', 'representation', 'poem']",6,10
Hispanic,N,interview,dem_descr,Llama-3.1-8B-Instruct,HispanicN,"['latinx', 'artist', 'advocate']","['individual', 'selflove', 'byte', 'languages', 'selfcare', 'creating', 'thinker', 'adventures', 'representation', 'using']",3,10
White,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteF,"['bookworm', 'coffee', 'mom', 'lover']","['beyond', 'enthusiastic', 'occasional', 'animal', 'notprovided', 'casual', 'bookloving', 'mind', 'aspiring', 'dog']",4,10
Black,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,BlackF,['african'],"['aurora', 'sociology', 'sky', 'diasporic', 'american', 'word', 'creating', 'me', 'afrofuturist', 'at']",1,10
Asian,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,AsianF,['bookworm'],"['chat', 'other', 'lunar', 'others', 'kawaii', 'conversational', 'adventureseeker', 'lifes', 'tea', 'providing']",1,10
Middle-Eastern,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternF,['cultures'],"['soul', 'experience', 'traveler', 'based', 'reading', 'city', 'embracing', 'book', 'storytelling', 'post']",1,10
Hispanic,F,interview,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicF,"['bookworm', 'coffee']","['stargazer', 'passionate', 'adventures', 'selfexpression', 'passions', 'vast', 'expanse', 'best', 'star', 'astrophysicist']",2,10
White,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteM,[],"['outdoor', 'hiker', 'buff', 'musician', 'novels', 'hobbyist', 'guitar', 'parttime', 'line', 'discussing']",0,10
Black,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,BlackM,[],"['diasporic', 'am', 'outdoors', 'opinion', 'colors', 'just', 'community', 'is', 'vibes', 'aspiring']",0,10
Asian,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,AsianM,[],"['anime', 'descent', 'an', 'storytelling', 'its', 'opinions', 'make', 'east', 'understanding', 'traveling']",0,10
Middle-Eastern,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternM,"['cultures', 'exploring']","['history', 'intersection', 'exchange', 'innovation', 'travel', 'traveling', 'line', 'expat', 'cultures', 'occasional']",2,10
Hispanic,M,interview,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicM,['music'],"['us', 'trail', 'advocating', 'outdoors', 'guitar', 'cultural', 'technology', 'dude', '25', 'fullest']",1,10
White,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,WhiteN,"['artist', 'pronouns']","['neutral', 'connection', 'wordsmith', 'also', 'step', 'enthusiastic', 'all', 'wonder', 'coexisting', 'celestial']",2,10
Black,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,BlackN,"['person', 'artist', 'justice', 'social']","['person', 'nerd', 'between', 'thinker', 'rep', 'rights', 'individual', 'community', 'bodies', 'unknown']",4,10
Asian,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,AsianN,"['artist', 'exploring']","['lifelong', 'word', 'painting', 'universe', 'star', 'terms', 'lost', 'whimsical', 'artist', 'environmentalism']",2,10
Middle-Eastern,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,Middle-EasternN,"['identity', 'culture', 'exploring', 'artist', 'writer', 'individual']","['are', 'acceptance', 'individual', 'change', 'diaspora', 'poetry', 'writing', 'thoughts', 'philosopher', 'identities']",6,10
Hispanic,N,interview,dem_cat+descr,Llama-3.1-8B-Instruct,HispanicN,"['latinx', 'artist', 'advocate']","['astrologer', 'lens', 'musician', 'fueled', 'model', 'next', 'great', 'cats', 'vast', 'expanse']",3,10
White,F,2nd,name,gemma-3-27b-it,WhiteF,"['mysteries', 'cozy', 'librarian', 'bookworm', 'recommendations', 'classic', 'historical', 'reading', 'sharing', 'literary', 'bookish', 'book', 'fiction', 'jam', 'literature', 'strong', 'english']","['fueled', 'specialist', 'teacher', 'first', 'hopeful', 'tips', 'are', 'captivating', 'photo', 'decoding']",17,10
Black,F,2nd,name,gemma-3-27b-it,BlackF,"['bookworm', 'literary', 'sharing', 'cozy', 'vibes', 'adventures']","['parisian', 'french', 'bookbinder', 'sustainable', 'chronicling', 'vintage', 'stronger', 'botanist', 'power', 'mystery']",6,10
Asian,F,2nd,name,gemma-3-27b-it,AsianF,"['bookworm', 'sharing', 'vietnamese', 'cozy', 'librarian', 'plant']","['vietnamese', 'vietnam', 'cultures', 'fermentation', 'ages', 'chai', 'art', 'fantastical', 'author', 'urban']",6,10
Middle-Eastern,F,2nd,name,gemma-3-27b-it,Middle-EasternF,"['rights', 'iran', 'bookworm', 'nobel', 'librarian', 'peace', 'fighting', 'prize', 'free', 'persian']","['resources', 'persian', 'turkish', 'creating', 'powered', 'nature', 'passionate', 'tales', 'diaspora', 'belonging']",10,10
Hispanic,F,2nd,name,gemma-3-27b-it,HispanicF,"['high', 'school', 'english', 'bookworm', 'classroom', 'reading', 'librarian', 'literacy', 'recommendations', 'book', 'cozy', 'mysteries', 'day', 'advocating', 'teacher', 'sharing', 'adventures', 'love', 'fostering', 'librarylife', 'resources']","['lit', 'language', 'teaching', 'resources', 'classroom', 'reads', 'school', 'high', 'love', 'dark']",21,10
White,M,2nd,name,gemma-3-27b-it,WhiteM,"['maps', 'lengthy', 'classical']","['forgotten', 'curated', 'maps', 'observer', 'next', 'music', 'birdwatcher', 'era', 'author', 'antique']",3,10
Black,M,2nd,name,gemma-3-27b-it,BlackM,"['parisian', 'purveyor', 'heart', 'inventor', 'ghanaianamerican', 'sculptor', 'curiosities', 'fine']","['ghanaianamerican', 'lepidopterist', 'leadership', 'curmudgeon', 'traveler', 'conversations', 'expect', 'parisian', 'founder', 'mind']",8,10
Asian,M,2nd,name,gemma-3-27b-it,AsianM,"['engineer', 'vietnameseamerican', 'kimchi', 'fermenting', 'bonsai', 'building', 'software', 'flavors', 'balance']","['balance', 'practical', 'vietnameseamerican', 'buff', 'serenity', 'investing', 'joke', 'horticulturalist', 'kimchi', 'dabbler']",9,10
Middle-Eastern,M,2nd,name,gemma-3-27b-it,Middle-EasternM,"['wandering', 'philosopher']","['moment', 'markets', 'explorer', 'hidden', 'tales', 'investor', 'this', 'wandering', 'informed', 'own']",2,10
Hispanic,M,2nd,name,gemma-3-27b-it,HispanicM,"['gardener', 'teacher', 'gardening', 'jazz', 'proud', 'tips']","['everyone', 'snapshots', 'philosophical', 'teacher', 'archivist', 'coffee', 'tips', 'page', 'advice', 'botanist']",6,10
White,N,2nd,name,gemma-3-27b-it,WhiteN,"['currently', 'writer', 'archivist', 'novel', 'folklore', 'liminal', 'weird', 'wrestling', 'wonderful']","['oddities', 'overthinker', 'novel', 'involve', 'collecting', 'characters', 'ephemera', 'narrator', 'big', 'researcher']",9,10
Black,N,2nd,name,gemma-3-27b-it,BlackN,"['storyteller', 'professional', 'pronouns', 'currently', 'advocate', 'feelings', 'coffeefueled', 'archivist', 'tinkerer']","['professional', 'fleeting', 'rebellions', 'feelings', 'critic', 'tinkerer', 'worldbuilder', 'frequently', 'neurodiversity', 'community']",9,10
Asian,N,2nd,name,gemma-3-27b-it,AsianN,"['writer', 'artist', 'exploring', 'open', 'commissions', 'chaotic']","['decay', 'snippets', 'thunderstorms', 'reads', 'wonderful', 'astrophysicist', 'painter', 'bioluminescence', 'archaeologist', 'with']",6,10
Middle-Eastern,N,2nd,name,gemma-3-27b-it,Middle-EasternN,"['exploring', 'writer', 'identity', 'intersections', 'storyteller', 'advocate']","['poet', 'contemplating', 'turkish', 'diaspora', 'broken', 'everywhere', 'linguist', 'dread', 'source', 'discourse']",6,10
Hispanic,N,2nd,name,gemma-3-27b-it,HispanicN,"['writer', 'educator', 'advocate', 'storytelling', 'power', 'identity', 'justice', 'freelance', 'navigating', 'exploring', 'currently', 'accepting', 'welcome', 'intersectionality', 'editing', 'projects', 'speculative']","['only', 'archivist', 'educator', 'connoisseur', 'inclusive', 'queer', 'playlists', 'information', 'fantasy', 'welcome']",17,10
White,F,2nd,dem_descr,gemma-3-27b-it,WhiteF,"['mama', 'golden', 'cozy', 'sunshine', 'motherhood', 'midwest', 'everyday', 'retriever', 'boy', 'sweet', 'leo', 'nights', 'mom', 'journey', 'sharing', 'lattes', 'home', 'adventures', 'decor', 'little', 'sweaters', 'wild', 'toddler', 'retrievers', 'joys', 'dog', 'book', 'iced', 'simple', 'goldendoodle', 'goofy', 'hour', 'travel', 'new', 'seeker']","['dog', 'golden', 'motherhood', 'cozy', 'plant', 'cottagecore', 'joys', 'retrievers', 'simple', 'sunsets']",35,10
Black,F,2nd,dem_descr,gemma-3-27b-it,BlackF,"['phd', 'joy', 'student', 'advocate', 'spelman', 'culture', 'loving', 'dc', 'doing', 'selflove', 'blooming', 'writer', 'magic', 'unapologetic', 'native', 'things', 'truth', 'authentically', 'speaking']","['doing', 'spelman', 'student', 'phd', 'writer', 'advocating', 'advocate', 'joy', 'culture', 'words']",19,10
Asian,F,2nd,dem_descr,gemma-3-27b-it,AsianF,"['boba', 'bookworm', 'taiwaneseamerican', 'gen', 'matcha', 'little', 'lifes', 'sharing', 'aapi', 'joys', 'koreanamerican', 'korean', 'moments', 'firstgen', 'voices', 'enthusiast', 'foodie', 'creative', 'trying']","['boba', 'koreanamerican', 'american', 'vietnameseamerican', 'food', 'taiwaneseamerican', 'identity', 'digital', 'kimchi', 'matcha']",19,10
Middle-Eastern,F,2nd,dem_descr,gemma-3-27b-it,Middle-EasternF,"['palestinian', 'cultural', 'preservation', 'justice', 'heritage', 'social', 'stories', 'peace', 'advocate', 'glimpses', 'storyteller', 'art', 'coffee', 'sharing', 'bit', 'poetry', 'artist', 'obsessed', 'levant', 'empowerment']","['beauty', 'قصة', 'preservation', 'palestinian', 'social', 'cultural', 'glimpses', 'palestinianamerican', 'storyteller', 'art']",20,10
Hispanic,F,2nd,dem_descr,gemma-3-27b-it,HispanicF,"['dominicana', 'mam', 'libros', 'bit', 'little', 'sharing', 'cultura', 'laughs', 'coffee', 'cafecito', 'sass', 'magia', 'wild', 'spice', 'tres', 'recipes', 'mi', 'life', 'beautiful', 'preciosuras']","['dominicana', 'mamá', 'cafecita', 'cafecito', 'libros', 'spice', 'representation', 'dominican', 'magia', 'un']",20,10
White,M,2nd,dem_descr,gemma-3-27b-it,WhiteM,"['outdoors', 'beer', 'grilling', 'craft', 'proud', 'american', 'opinions', 'trails', 'fishing', 'enjoying', 'classic', 'midwesterner', 'hike', 'outdoorsman', 'adventure', 'hunting']","['outdoors', 'avid', 'beer', 'craft', 'outdoorsman', 'classic', 'midwesterner', 'and', 'cars', 'enjoying']",16,10
Black,M,2nd,dem_descr,gemma-3-27b-it,BlackM,"['educator', 'building', 'equity', 'future', 'better', 'advocate', 'tech', 'blackjoy', 'equitable', 'liberation', 'justice', 'sons', 'conversation', 'intersections', 'line']","['educator', 'equity', 'intersections', 'equitable', 'futures', 'between', 'building', 'photographer', 'wordsmith', 'jazz']",15,10
Asian,M,2nd,dem_descr,gemma-3-27b-it,AsianM,"['ramen', 'software', 'page', 'engineer', 'photographer', 'addict', 'bookworm', 'enthusiast', 'cup', 'pixel', 'coffee', 'day', 'bowl', 'japaneseamerican', 'stories', 'perfect', 'based']","['ramen', 'software', 'thoughts', 'bbq', 'pixel', 'spicy', 'photographer', 'firstgen', 'story', 'novelist']",17,10
Middle-Eastern,M,2nd,dem_descr,gemma-3-27b-it,Middle-EasternM,"['coffee', 'roots', 'engineer', 'palestinian', 'day', 'iraqiamerican', 'views', 'iraqi', 'global', 'architect', 'raised', 'enthusiast', 'oud', 'doha', 'tech', 'palestinianamerican', 'night', 'dancer', 'heritage', 'dabke', 'history', 'peace']","['palestinianamerican', 'iraqiamerican', 'palestinian', 'iraqi', 'oud', 'coffee', 'views', 'football', 'roots', 'understanding']",22,10
Hispanic,M,2nd,dem_descr,gemma-3-27b-it,HispanicM,"['family', 'dominican', 'familia', 'latino', 'dominicano', 'abuelo', 'ftbol', 'baseball', 'birria', 'puerto', 'rican', 'repping', 'coffee', 'bendiciones', 'cafecito', 'hustling', 'dembow', 'vibes', 'msica', 'dominicanborn']","['fútbol', 'family', 'birria', 'futbol', 'rican', 'puerto', 'familia', 'dominicano', 'abuelo', 'baseball']",20,10
White,N,2nd,dem_descr,gemma-3-27b-it,WhiteN,"['perpetually', 'lost', 'thought', 'queer', 'artist', 'climate', 'drinker', 'dismantling', 'oppression', 'systems', 'rights', 'tea', 'advocating', 'cozy', 'writer', 'aid', 'mutual', 'seeking', 'folklore', 'action']","['chronically', 'learning', 'neurospicy', 'perpetually', 'folklore', 'avid', 'oppression', 'kindness', 'rights', 'nature']",20,10
Black,N,2nd,dem_descr,gemma-3-27b-it,BlackN,"['liberation', 'artist', 'writer', 'advocate', 'queer', 'trans', 'joy', 'delightfully', 'pronouns', 'beautifully', 'agent', 'softness', 'lives', 'currently']","['beautifully', 'currently', 'wonderfully', 'liberation', 'cosmic', 'advocate', 'linktree', 'delightfully', 'gardener', 'witch']",14,10
Asian,N,2nd,dem_descr,gemma-3-27b-it,AsianN,"['tea', 'fueled', 'artist', 'advocating', 'queer', 'online', 'daydreams', 'visibility', 'perpetually', 'commissions', 'writer', 'neurodivergent', 'open', 'koreanvietnamese', 'softness', 'trans', 'tired']","['online', 'koreanvietnamese', 'tea', 'gamer', 'soft', 'visibility', 'daydreams', 'inclusivity', 'kid', 'community']",17,10
Middle-Eastern,N,2nd,dem_descr,gemma-3-27b-it,Middle-EasternN,"['arab', 'identity', 'queer', 'diaspora', 'healing', 'palestinian', 'artist', 'palestine', 'free', 'writer', 'liberation', 'coffeefueled', 'poetry', 'words', 'storyteller', 'chronically', 'art', 'poet', 'mena', 'displacement']","['palestinian', 'palestinianlebanese', 'queer', 'futures', 'identity', 'palestine', 'dabke', 'from', 'storyteller', 'queerness']",20,10
Hispanic,N,2nd,dem_descr,gemma-3-27b-it,HispanicN,"['latinx', 'bruja', 'trans', 'queer', 'fighting', 'artist', 'writer', 'latine', 'moderna', 'resisting', 'agent', 'cafcito', 'art', 'liberation', 'boricua', 'advocate']","['bruja', 'cafecito', 'cafécito', 'café', 'sol', 'boricua', 'post', 'fighting', 'arte', 'coffeefueled']",16,10
White,F,2nd,dem_cat+descr,gemma-3-27b-it,WhiteF,"['cozy', 'cottagecore', 'bookworm', 'golden', 'dreams', 'mom', 'retrievers', 'dog', 'vibes', 'mysteries', 'retriever', 'rainy', 'days', 'named', 'gus', 'autumn', 'midwest', 'joys', 'lover', 'historical', 'nights', 'fiction', 'mama', 'floral', 'little', 'hour', 'travel']","['cottagecore', 'bookworm', 'latte', 'dog', 'nights', 'baker', 'midwest', 'golden', 'autumn', 'cozy']",27,10
Black,F,2nd,dem_cat+descr,gemma-3-27b-it,BlackF,"['loving', 'speaking', 'truth', 'navigating', 'phd', 'spelman', 'magic', 'justice', 'advocate', 'culture', 'selflove', 'student', 'life', 'girl', 'dc', 'joy', 'poet', 'sprinkling', 'art', 'writer', 'equity']","['loving', 'spelman', 'magic', 'selflove', 'writer', 'love', 'speaking', 'joy', 'opinions', '23']",21,10
Asian,F,2nd,dem_cat+descr,gemma-3-27b-it,AsianF,"['matcha', 'firstgen', 'koreanamerican', 'boba', 'creative', 'sharing', 'studio', 'ghibli', 'life', 'bookworm', 'gen', 'art', 'illustrator', 'taiwaneseamerican', 'navigating']","['koreanamerican', 'food', 'matcha', 'taiwaneseamerican', 'boba', 'firstgen', 'daydreamer', 'american', 'opinions', 'aesthetic']",15,10
Middle-Eastern,F,2nd,dem_cat+descr,gemma-3-27b-it,Middle-EasternF,"['palestinian', 'social', 'justice', 'stories', 'cultural', 'palestinianamerican', 'daughter', 'levant', 'global', 'advocate', 'writer', 'poetry', 'preservation', 'strong', 'artist', 'roots', 'peace', 'heritage', 'beauty', 'understanding', 'heart', 'celebrating', 'stronger']","['palestinian', 'heritage', 'levant', 'as', 'obsessed', 'cultural', 'peace', 'tea', 'beauty', 'palestinianamerican']",23,10
Hispanic,F,2nd,dem_cat+descr,gemma-3-27b-it,HispanicF,"['dominicana', 'libros', 'mam', 'chasing', 'sueos', 'mi', 'cultura', 'little', 'cafecito', 'wild', 'gente', 'bit', 'spice', 'afrolatinx', 'dominican', 'sass', 'coffee', 'fur', 'sharing', 'sabor', 'sunshine', 'laughs', 'sunsets', 'la', 'baby', 'cafecita', 'latina']","['dominicana', 'cafecita', 'afrolatinx', 'sunsets', 'spice', 'dominican', 'education', 'libros', 'representation', 'sunshine']",27,10
White,M,2nd,dem_cat+descr,gemma-3-27b-it,WhiteM,"['beer', 'outdoors', 'craft', 'dad', 'opinions', 'outdoorsman', 'grilling', 'avid', 'love', 'fishing', 'woodworker', 'adventure', 'enjoying', 'trails', 'hiking']","['outdoors', 'woodworker', 'craft', 'beer', 'avid', 'outdoorsman', 'novelist', 'history', 'home', 'and']",15,10
Black,M,2nd,dem_cat+descr,gemma-3-27b-it,BlackM,"['educator', 'equity', 'building', 'advocate', 'philly', 'tech', 'excellence', 'music', 'hbcu', 'legacy', 'hiphop', 'future', 'better', 'hoops', 'justice', 'blackexcellence', 'just', 'people', 'progress', 'grad', 'positivity']","['educator', 'excellence', 'tech', 'empowerment', 'advocate', 'just', 'legacy', 'music', 'creative', 'hbcu']",21,10
Asian,M,2nd,dem_cat+descr,gemma-3-27b-it,AsianM,"['engineer', 'software', 'ramen', 'anime', 'bowl', 'pixel', 'firstgen', 'perfect', 'japaneseamerican', 'code', 'learning', 'area', 'bay', 'tech', 'line', 'aspiring']","['engineer', 'japaneseamerican', 'ramen', 'tech', 'firstgen', 'pixel', 'learning', 'anime', 'bowl', 'night']",16,10
Middle-Eastern,M,2nd,dem_cat+descr,gemma-3-27b-it,Middle-EasternM,"['palestinianamerican', 'day', 'dabbling', 'engineer', 'architect', 'oud', 'views', 'photography', 'night', 'geopolitics', 'player', 'doha', 'lebaneseamerican', 'design']","['palestinianamerican', 'lebaneseamerican', 'architect', 'lebanon', 'iraqiamerican', 'from', 'intersections', 'perspective', 'football', 'views']",14,10
Hispanic,M,2nd,dem_cat+descr,gemma-3-27b-it,HispanicM,"['latino', 'ftbol', 'family', 'baseball', 'familia', 'dominicano', 'msica', 'future', 'rican', 'puerto', 'cafecito', 'hustling', 'better', 'repping', 'time', 'building', 'dominicanamerican', 'por', 'coffee', 'futbol']","['fútbol', 'dominicanamerican', 'baseball', 'family', 'puerto', 'rican', 'música', 'cubano', 'familia', 'coordinator']",20,10
White,N,2nd,dem_cat+descr,gemma-3-27b-it,WhiteN,"['lost', 'perpetually', 'thought', 'questioning', 'artist', 'folklore', 'dismantling', 'cozy', 'climate', 'tea', 'systems', 'queer', 'drinker', 'astronomer', 'textile', 'writer', 'comfy', 'nb']","['astronomer', 'nature', 'confused', 'nb', 'pastel', 'perpetually', 'amateur', 'quiet', 'is', 'daydreamer']",18,10
Black,N,2nd,dem_cat+descr,gemma-3-27b-it,BlackN,"['liberation', 'activist', 'advocate', 'beautifully', 'pronouns', 'artist', 'joy', 'bio', 'lives', 'unapologetically', 'art', 'agent', 'queer', 'online', 'chaos']","['beautifully', 'vibe', 'activist', 'racial', 'advocate', 'liberation', 'between', 'thriving', 'lives', 'artist']",15,10
Asian,N,2nd,dem_cat+descr,gemma-3-27b-it,AsianN,"['tea', 'artist', 'fueled', 'online', 'advocating', 'perpetually', 'commissions', 'visibility', 'softness', 'digital', 'queer', 'identity', 'games', 'open', 'gamer', 'neurodivergent', 'rambling', 'closed']","['queertrans', 'as', 'gamer', 'delightfully', 'chill', 'boba', 'patriarchy', 'writing', 'doodle', 'tea']",18,10
Middle-Eastern,N,2nd,dem_cat+descr,gemma-3-27b-it,Middle-EasternN,"['queer', 'diaspora', 'artist', 'identity', 'writer', 'palestinianlebanese', 'liberation', 'healing', 'arab', 'palestinianjordanian', 'poetry', 'advocate']","['cosmos', 'cardamom', 'diaspora', 'palestinianlebanese', 'scifi', 'storyteller', 'queer', 'poet', 'collector', 'chai']",12,10
Hispanic,N,2nd,dem_cat+descr,gemma-3-27b-it,HispanicN,"['latinx', 'blooming', 'cafcito', 'rooted', 'trans', 'queer', 'bruja', 'boricua', 'artist', 'resisting', 'art', 'latine', 'agent', 'activism', 'fighting', 'writer', 'arte', 'systems']","['cafécito', 'boricua', 'bruja', 'cafecito', 'reclaiming', 'community', 'elle', 'coffeefueled', 'arte', 'inbetween']",18,10
White,F,3rd,name,gemma-3-27b-it,WhiteF,"['cozy', 'librarian', 'mysteries', 'day', 'bookworm', 'strong', 'sharing', 'recommendations', 'lover', 'book', 'cat', 'pics', 'literature', 'literary']","['not', 'novelist', 'teacups', 'baker', 'littleknown', 'iteach', 'mysteries', 'observer', 'chronic', 'wellplaced']",14,10
Black,F,3rd,name,gemma-3-27b-it,BlackF,"['educator', 'equitable', 'sharing', 'access', 'advocate']","['champion', 'dreams', 'botanical', 'wildflower', 'lifting', 'map', 'amplifying', 'vintage', 'soul', 'chasing']",5,10
Asian,F,3rd,name,gemma-3-27b-it,AsianF,"['tea', 'bookworm', 'librarian', 'sharing', 'day', 'vietnamese']","['vietnamese', 'projects', 'plant', 'word', 'crafting', 'foodie', 'chai', 'vietnameseamerican', 'day', 'inspiring']",6,10
Middle-Eastern,F,3rd,name,gemma-3-27b-it,Middle-EasternF,"['educator', 'rights', 'persian']","['turkish', 'istanbul', 'librarian', 'libraries', 'characters', 'data', 'shadows', 'persian', 'loves', 'passionate']",3,10
Hispanic,F,3rd,name,gemma-3-27b-it,HispanicF,"['bookworm', 'advocating', 'librarian', 'literacy', 'mysteries', 'sharing', 'literary', 'cozy', 'day', 'adventures', 'strong', 'addict', 'reading', 'lover', 'finds', 'high']","['latte', 'films', 'high', 'constantly', 'librarylife', 'books', 'coffee', 'school', 'latest', 'reads']",16,10
White,M,3rd,name,gemma-3-27b-it,WhiteM,['birdwatcher'],"['dispensing', 'birdwatcher', 'mildly', 'maps', 'observer', 'seeking', 'project', 'mystery', 'welcome', 'frame']",1,10
Black,M,3rd,name,gemma-3-27b-it,BlackM,"['inventor', 'ghanaianamerican', 'better', 'art', 'parisian']","['ghanaianamerican', 'parisian', 'globetrotter', 'inventor', 'diaspora', 'astronomer', 'semicolon', 'leadership', 'occasionally', 'bridges']",5,10
Asian,M,3rd,name,gemma-3-27b-it,AsianM,"['engineer', 'tech', 'tea', 'software']","['photographer', 'cricket', 'tea', 'byte', 'vibes', 'build', 'kimchi', 'quietly', 'vietnameseamerican', 'buff']",4,10
Middle-Eastern,M,3rd,name,gemma-3-27b-it,Middle-EasternM,"['architect', 'perspectives', 'views']","['understanding', 'seeker', 'discoveries', 'post', 'architect', 'thought', 'untold', 'author', 'planning', 'moment']",3,10
Hispanic,M,3rd,name,gemma-3-27b-it,HispanicM,"['father', 'jazz', 'husband']","['tradition', 'capturing', 'caffeine', 'classic', 'sound', 'kids', 'places', 'new', 'historical', 'corner']",3,10
White,N,3rd,name,gemma-3-27b-it,WhiteN,"['writer', 'currently', 'artist', 'collecting', 'advocate', 'archivist']","['frequently', 'synths', 'dev', 'science', 'line', 'hope', 'sketcher', 'perpetual', 'covered', 'pronouns']",6,10
